Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1040778	2015-07-22 17:13:13	2015-12-16 03:29:20	8237796	263609472	0	32	135		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040778/SRR1040778.2	SRX385359		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509477	SAMN02427360	simple	10090	Mus musculus	GSM1276701							no					GEO	SRA110016		public	B3B78C769DC92199896936831C7CEBD1	F2EE148F9C802F5A45FA4F13B6F91236
SRR1040779	2015-07-22 17:13:13	2015-12-16 03:23:37	5860817	187546144	0	32	91		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040779/SRR1040779.2	SRX385360		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509478	SAMN02427369	simple	10090	Mus musculus	GSM1276702							no					GEO	SRA110016		public	F1C13E12FB82DB6361054109E44551DD	4727515C62DE6FF70E8EB31616A5D43B
SRR1040780	2015-07-22 17:13:13	2015-12-16 03:01:48	8457418	270637376	0	32	151		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040780/SRR1040780.2	SRX385361		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509479	SAMN02427370	simple	10090	Mus musculus	GSM1276703							no					GEO	SRA110016		public	63FF9969EFB59DAD91B185CA67A78306	3509A8D8E738AA6D8E20BCF9D757FE8B
SRR1040781	2015-07-22 17:13:13	2015-12-16 02:39:31	9990763	319704416	0	32	213		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040781/SRR1040781.2	SRX385362		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509480	SAMN02427364	simple	10090	Mus musculus	GSM1276704							no					GEO	SRA110016		public	D628ECD465CD2E03051AE745000CAB57	CE39EE02B540963B267728C8A32F8BC9
SRR1040782	2015-07-22 17:13:13	2015-12-16 03:33:00	10776748	344855936	0	32	221		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040782/SRR1040782.2	SRX385363		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509481	SAMN02427368	simple	10090	Mus musculus	GSM1276705							no					GEO	SRA110016		public	86BC997384258B665DC4A6B2B8667378	8D287F6400CD5F8E42E41300D02C4FE2
SRR1040783	2015-07-22 17:13:15	2015-12-16 03:17:42	10561349	337963168	0	32	219		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040783/SRR1040783.2	SRX385364		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509482	SAMN02427372	simple	10090	Mus musculus	GSM1276706							no					GEO	SRA110016		public	E7143E6499A248A527C2E5536C569FC3	B5C7DE890533EC7FCCCA7F47F5A7F0DA
SRR1040784	2015-07-22 17:13:13	2015-12-15 21:57:33	24911266	871894310	0	35	480		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040784/SRR1040784.2	SRX385365		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509483	SAMN02427373	simple	10090	Mus musculus	GSM1276707							no					GEO	SRA110016		public	68E20D9420F0EE159451A4FCC4A1DEC4	738E9FC813156D350705D41A8BB41C33
SRR1040785	2015-07-22 17:13:15	2015-12-16 02:43:56	27046330	946621550	0	35	543		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040785/SRR1040785.2	SRX385366		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509484	SAMN02427367	simple	10090	Mus musculus	GSM1276708							no					GEO	SRA110016		public	E356ECCB846EB4BBE03CF677EB084A1B	4455350075FC78067F5EC98D50B951C7
SRR1040786	2015-07-22 17:13:13	2015-12-15 21:55:15	21078112	737733920	0	35	415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040786/SRR1040786.2	SRX385367		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509485	SAMN02427379	simple	10090	Mus musculus	GSM1276709							no					GEO	SRA110016		public	C6A76F8B07005E7FC11AD983054E2AD1	5F7CB50D42DAE5B0D8EC59A0FC454456
SRR1040787	2015-07-22 17:13:12	2015-12-16 02:42:23	29341302	1026945570	0	35	578		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040787/SRR1040787.2	SRX385368		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509486	SAMN02427366	simple	10090	Mus musculus	GSM1276710							no					GEO	SRA110016		public	4D01F2483FCBD109ADC1E531B6BCA1AA	61665A8E43527A07BFE62A4EAA953163
SRR1040788	2015-07-22 17:13:12	2015-12-16 03:14:27	28362413	992684455	0	35	531		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040788/SRR1040788.2	SRX385369		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509487	SAMN02427380	simple	10090	Mus musculus	GSM1276711							no					GEO	SRA110016		public	40B1CD011069BEA1E236612B9BFAFF89	2C6E8A1B8AE377919336EECAA86B685F
SRR1040789	2015-07-22 17:13:12	2015-12-16 03:10:48	12563125	439709375	0	35	308		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040789/SRR1040789.2	SRX385370		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509488	SAMN02427365	simple	10090	Mus musculus	GSM1276712							no					GEO	SRA110016		public	CFF299D9155393B85FF5A2CCA746A093	EF5BAE126A9BD8CE70C43ACEF11DFD59
SRR1040790	2015-07-22 17:13:12	2015-12-16 03:29:33	13479404	471779140	0	35	329		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040790/SRR1040790.2	SRX385371		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509489	SAMN02427376	simple	10090	Mus musculus	GSM1276713							no					GEO	SRA110016		public	1C46A5D1DC12CA9C8A56E26345F269C1	D73ACB87C06E84C09DE788D3CA3B3325
SRR1040791	2015-07-22 17:13:15	2015-12-15 21:56:46	15693186	549261510	0	35	354		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040791/SRR1040791.2	SRX385372		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509490	SAMN02427374	simple	10090	Mus musculus	GSM1276714							no					GEO	SRA110016		public	1D960913A36C44E9EFA2A5688F45CB48	EC206CAB60AEE615FE09681B800557FD
SRR1040792	2015-07-22 17:13:12	2015-12-16 02:39:45	12685321	443986235	0	35	311		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040792/SRR1040792.2	SRX385373		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509491	SAMN02427375	simple	10090	Mus musculus	GSM1276715							no					GEO	SRA110016		public	830B5DBBF5DD018C60F9D93F85410475	2ABF66A6C0A3B49B12E175E5B3ABCD02
SRR1040793	2015-07-22 17:13:15	2015-12-15 21:53:55	13660141	478104935	0	35	332		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040793/SRR1040793.2	SRX385374		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509492	SAMN02427377	simple	10090	Mus musculus	GSM1276716							no					GEO	SRA110016		public	C9F8371C809350B30DFA1541CB3E5186	2AE091B06B43321844B5C59EAD579929
SRR1040794	2015-07-22 17:13:13	2015-12-16 03:31:06	14495634	507347190	0	35	346		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040794/SRR1040794.2	SRX385375		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP032533	PRJNA226617	2	226617	SRS509493	SAMN02427382	simple	10090	Mus musculus	GSM1276717							no					GEO	SRA110016		public	0BD683A44287C1D9D337F833D8CE9531	BA0D8BBA9E55979E928A90E13A9D2B50
SRR1040795	2014-01-20 21:12:46	2013-11-29 12:05:26	13215865	674009115	0	51	425		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040795/SRR1040795.1	SRX385376		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP032533	PRJNA226617	2	226617	SRS509494	SAMN02427378	simple	10090	Mus musculus	GSM1276718							no					GEO	SRA110016		public	3A3A533E0E7B590BCA189EF9838A5C39	6FB31FE1CB04953AC2D215E93CCBF2CB
SRR1040796	2014-01-20 21:12:46	2013-11-29 12:12:45	37351520	2838715520	0	76	1782		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040796/SRR1040796.1	SRX385377		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP032533	PRJNA226617	2	226617	SRS509495	SAMN02427381	simple	10090	Mus musculus	GSM1276719							no					GEO	SRA110016		public	328B6AAC70F46EBD9501B9EDC8E63F69	918D90B2B62D3BC325BD39373423E99D
SRR1040797	2014-01-20 21:12:46	2013-11-29 12:13:14	37782482	2871468632	0	76	1750		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1040797/SRR1040797.1	SRX385378		ChIP-Seq	ChIP	GENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP032533	PRJNA226617	2	226617	SRS509496	SAMN02427383	simple	10090	Mus musculus	GSM1276720							no					GEO	SRA110016		public	7417F0E33D25D569EE9F89329E67F371	0059569A82CE5043F48150A1289A701A
